ano,data,plataforma,funil,campanha,impressoes,cliques,custo
2025,2025-11-13,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,67894,1165,1415.69
2025,2025-11-13,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,130797,1398,2412.9
2025,2025-11-13,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,55902,1583,2223.92
2025,2025-11-14,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,44804,740,1245.77
2025,2025-11-14,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,48301,1283,1055.13
2025,2025-11-14,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,68110,2104,1938.48
2025,2025-11-15,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,63271,700,1236.09
2025,2025-11-15,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,102267,2634,3079.53
2025,2025-11-15,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,41363,979,1566.38
2025,2025-11-16,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,102309,1147,1603.91
2025,2025-11-16,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,60615,1147,1722.12
2025,2025-11-16,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,52249,605,848.38
2025,2025-11-17,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,80265,1576,2381.68
2025,2025-11-17,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,51999,1269,1835.87
2025,2025-11-17,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,83239,1859,1215.29
2025,2025-11-18,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,106561,3421,5998.25
2025,2025-11-18,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,142235,2784,2185.37
2025,2025-11-18,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,38842,933,850.15
2025,2025-11-19,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,52433,701,827.24
2025,2025-11-19,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,115501,2041,2602.79
2025,2025-11-19,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,92332,2111,3459.28
2025,2025-11-20,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,52322,1444,2198.79
2025,2025-11-20,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,50709,1698,1832.01
2025,2025-11-20,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,97492,1735,1678.38
2025,2025-11-21,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,138746,3481,3099.2
2025,2025-11-21,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,48164,1467,1131.72
2025,2025-11-21,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,118196,2300,3653.63
2025,2025-11-22,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,151823,5222,3793.46
2025,2025-11-22,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,46334,1188,2076.81
2025,2025-11-22,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,115619,2470,2578.13
2025,2025-11-23,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,135841,3033,3985.84
2025,2025-11-23,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,152094,5186,5052.39
2025,2025-11-23,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,54235,801,1033.63
2025,2025-11-24,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,86376,2424,3918.72
2025,2025-11-24,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,155940,2100,2238.18
2025,2025-11-24,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,128425,4006,5888.73
2025,2025-11-25,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,156823,5377,6187.62
2025,2025-11-25,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,88389,1037,858.77
2025,2025-11-25,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,72238,2335,3522.98
2025,2025-11-26,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,146974,3816,2553.83
2025,2025-11-26,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,67018,1122,1193.35
2025,2025-11-26,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,120276,3667,2852.24
2025,2025-11-27,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,63967,2082,2311.59
2025,2025-11-27,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,90029,1141,1254.96
2025,2025-11-27,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,85600,2410,1475.18
2025,2025-11-28,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,84132,2564,4530.34
2025,2025-11-28,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,69957,971,724.79
2025,2025-11-28,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,85933,2662,2220.88
2025,2025-11-29,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,116939,1640,2698.94
2025,2025-11-29,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,155216,4602,5918.61
2025,2025-11-29,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,59173,1872,1239.64
2025,2025-11-30,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,64032,1215,1028.38
2025,2025-11-30,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,99017,2556,1975.1
2025,2025-11-30,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,168253,2093,1487.04
